Sample,Species,Toxin_count
Cinte-CLP2323,Crotalus_intermedius_gloydi,9
Clann-CLP2394,Crotalus_lannomi,11
Clepi-CLP1932,Crotalus_lepidus_klauberi,10
Clepi-CLP2201,Crotalus_lepidus_klauberi,9
Clepi-CLP2202,Crotalus_lepidus_klauberi,8
Clepi-CLP2258,Crotalus_lepidus_klauberi,13
Clepi-CLP2346,Crotalus_lepidus_klauberi,10
Clepi-CLP1993,Crotalus_lepidus_lepidus,12
Clepi-CLP2268,Crotalus_lepidus_lepidus,12
Clepi-KW1748,Crotalus_lepidus_lepidus,12
Clepi-MM0245,Crotalus_lepidus_lepidus,15
Cmitc-CLP2647,Crotalus_mitchellii,6
Cmitc-CLP2648,Crotalus_mitchellii,8
Cpyrr-CLP2656,Crotalus_pyrrhus,19
Cmitc-CLP2657,Crotalus_mitchellii,2
Cmitc-CLP2671,Crotalus_mitchellii,10
Cmitc-CLP2672,Crotalus_mitchellii,10
Cmolo-CLP2350,Crotalus_molossus_hybrid,11
Cmolo-CLP1934,Crotalus_molossus_molossus,7
Cmolo-CLP2124,Crotalus_molossus_molossus,10
Cmolo-CLP2146,Crotalus_molossus_molossus,14
Cmolo-CLP2198,Crotalus_molossus_molossus,10
Cmolo-CLP2200,Crotalus_molossus_molossus,10
Cmolo-CLP2260,Crotalus_molossus_nigrescens,12
Cmolo-CLP2270,Crotalus_molossus_nigrescens,8
Cmolo-CLP2271,Crotalus_molossus_nigrescens,8
Cmolo-CLP2330,Crotalus_molossus_oaxacus,8
Cmolo-CLP2374,Crotalus_molossus_oaxacus,12
Cmolo-CLP2375,Crotalus_molossus_oaxacus,18
Cmoru-CLP2403,Crotalus_morulus,11
Cmoru-CLP2404,Crotalus_morulus,11
Cmoru-CLP2405,Crotalus_morulus,14
Coreg-CLP1844,Crotalus_oreganus_abyssus,3
Coreg-CLP1974,Crotalus_oreganus_helleri,11
Coreg-CLP2046,Crotalus_oreganus_helleri,12
Coreg-CLP2050,Crotalus_oreganus_helleri,13
Coreg-MM0235,Crotalus_oreganus_lutosus,15
Coreg-CLP2063,Crotalus_oreganus_oreganus_South,14
Coreg-CLP2485,Crotalus_oreganus_oreganus_North,17
Coreg-CLP2486,Crotalus_oreganus_oreganus_North,13
Corna-CLP1996,Crotalus_ornatus,18
Corna-CLP2020,Crotalus_ornatus,13
Corna-CLP2025,Crotalus_ornatus,15
Corna-CLP2026,Crotalus_ornatus,14
Corna-CLP2189,Crotalus_ornatus,15
Corna-MM0243,Crotalus_ornatus,17
Corna-MM0257,Crotalus_ornatus,10
Cpoly-CLP2399,Crotalus_polystictus,8
Cpoly-CLP2400,Crotalus_polystictus,10
Cpoly-CLP2401,Crotalus_polystictus,9
Cpric-CLP2273,Crotalus_pricei_miquihuanus,9
Cpric-CLP2274,Crotalus_pricei_miquihuanus,8
Cpric-CLP2148,Crotalus_pricei_pricei,10
Cpric-CLP2254,Crotalus_pricei_pricei,13
Cpric-CLP2255,Crotalus_pricei_pricei,11
Cpric-CLP2256,Crotalus_pricei_pricei,10
Cpusi-CLP2483,Crotalus_pusillus,6
Cpyrr-CLP2051,Crotalus_pyrrhus,17
Cmitc-CLP2646,Crotalus_mitchellii,6
Cpyrr-DRR0045,Crotalus_pyrrhus,14
Cpyrr-DRR0046,Crotalus_pyrrhus,12
Cpyrr-KW1745,Crotalus_pyrrhus,18
Cravu-CLP2318,Crotalus_ravus_ravus,8
Cravu-CLP2371,Crotalus_ravus_ravus,11
Cravu-CLP2380,Crotalus_ravus_ravus,11
Crube-CLP2642,Crotalus_ruber_lucasensis,10
Crube-CLP2643,Crotalus_ruber_lucasensis,10
Crube-CLP2659,Crotalus_ruber_lucasensis,7
Crube-CLP2052,Crotalus_ruber_ruber,13
Crube-CLP2056,Crotalus_ruber_ruber,11
Crube-CLP2635,Crotalus_ruber_ruber,11
Cscut-CLP2382,Crotalus_scutulatus_salvini,7
Cscut-CLP2389,Crotalus_scutulatus_salvini,8
Cscut-CLP2390,Crotalus_scutulatus_salvini,6
Cscut-CLP1778,Crotalus_scutulatus_scutulatus_Chihuahuan,12
Cscut-CLP1785,Crotalus_scutulatus_scutulatus_Chihuahuan,13
Cscut-CLP1787,Crotalus_scutulatus_scutulatus_Chihuahuan,13
Cscut-CLP1821,Crotalus_scutulatus_scutulatus_Chihuahuan,6
Cscut-CLP1823,Crotalus_scutulatus_scutulatus_Sonoran,14
Cscut-CLP1829,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP1830,Crotalus_scutulatus_scutulatus_Sonoran,11
Cscut-CLP1831,Crotalus_scutulatus_scutulatus_Sonoran,14
Cscut-CLP1832,Crotalus_scutulatus_scutulatus_Sonoran,13
Cscut-CLP1835,Crotalus_scutulatus_scutulatus_Sonoran,14
Cscut-CLP1961,Crotalus_scutulatus_scutulatus_Sonoran,12
Cscut-CLP2021,Crotalus_scutulatus_scutulatus_Chihuahuan,9
Cscut-CLP2111,Crotalus_scutulatus_scutulatus_Sonoran,4
Cscut-CLP2261,Crotalus_scutulatus_scutulatus_Chihuahuan,15
Cscut-CLP2262,Crotalus_scutulatus_scutulatus_Chihuahuan,13
Cscut-CLP2272,Crotalus_scutulatus_scutulatus_Chihuahuan,15
Cscut-CLP2276,Crotalus_scutulatus_scutulatus_CentralMexico,16
Cscut-CLP2333,Crotalus_scutulatus_scutulatus_CentralMexico,8
Cscut-KW1107,Crotalus_scutulatus_scutulatus_Chihuahuan,4
Cscut-MM0240,Crotalus_scutulatus_scutulatus_Chihuahuan,8
Cstep-CLP2717,Crotalus_stephensi,13
Cstep-CLP2719,Crotalus_stephensi,14
Cstep-CLP2720,Crotalus_stephensi,11
Ctigr-CLP1944,Crotalus_tigris,4
Ctigr-CLP2130,Crotalus_tigris,2
Ctigr-CLP2156,Crotalus_tigris,3
Ctigr-KW1746,Crotalus_tigris,4
Ctoto-CLP2392,Crotalus_totonacus,6
Ctoto-CLP2393,Crotalus_totonacus,11
Ctoto-CLP2474,Crotalus_totonacus,12
Ctran-CLP2358,Crotalus_transversus,7
Ctris-CLP2310,Crotalus_triseriatus_East,10
Ctris-CLP2312,Crotalus_triseriatus_East,8
Ctris-CLP2313,Crotalus_triseriatus_East,12
Ctris-CLP2356,Crotalus_triseriatus_West,12
Ctris-CLP2357,Crotalus_triseriatus_West,10
Ctris-CLP2395,Crotalus_triseriatus_West,13
Cviri-CLP1842,Crotalus_viridis_nuntius,17
Cviri-CLP2082,Crotalus_viridis_nuntius,15
Cviri-CLP1839,Crotalus_viridis_viridis,15
Cviri-CLP1914,Crotalus_viridis_viridis,16
Cviri-MM0239,Crotalus_viridis_viridis,11
Cviri-MM0246,Crotalus_viridis_viridis,14
Cviri-MM0247,Crotalus_viridis_viridis,12
Cwill-CLP2257,Crotalus_willardi_silus,8
Cwill-CLP2110,Crotalus_willardi_willardi,10
Scate-DRR0043,Sistrurus_catenatus,8
Smili-DRR0055,Sistrurus_miliarius_barbouri,18
Smili-KW1749,Sistrurus_miliarius_barbouri,13
Smili-MM0113,Sistrurus_miliarius_barbouri,14
Smili-Sm03,Sistrurus_miliarius_barbouri,12
Smili-Sm07,Sistrurus_miliarius_barbouri,17
Smili-DRR0086,Sistrurus_miliarius_streckeri,17
Sterg-CLP2594,Sistrurus_tergeminus_edwardsii,12
Sterg-DRR0032,Sistrurus_tergeminus_edwardsii,14
Sterg-CLP2231,Sistrurus_tergeminus_tergeminus,13
Sterg-KW1090,Sistrurus_tergeminus_tergeminus,22
